Station2,date,Sample Type,Field Specific Conductivity,Date,Parameter,Units,Qualifier,Result
L03-316-3 (L03P12),45428.447222222225,Total,5117,NA,Azinphos Methyl,ng/L,<,5
L01-404-1,45433.34375,Total,1915,NA,Azinphos Methyl,ng/L,<,5
L01-340-1,45433.381944444445,Total,1636,NA,Azinphos Methyl,ng/L,<,5
L05-489-3,45433.376388888886,Total,3415,NA,Azinphos Methyl,ng/L,<,5
L05-049-1,45433.417361111111,Total,3825,NA,Azinphos Methyl,ng/L,<,5
L02-374-1 (L02P50),45433.424305555556,Total,2874,NA,Azinphos Methyl,ng/L,<,5
L03-418-8,45434.432638888888,Total,2875,NA,Azinphos Methyl,ng/L,<,5
K01-12177-1 (K01P07),45434.42083333333,Total,2719,NA,Azinphos Methyl,ng/L,<,5
J03-9221-1 (J03P02),45434.455555555556,Total,5983,NA,Azinphos Methyl,ng/L,<,5
J01-9224-1 (J01P24),45434.377083333333,Total,3753,NA,Azinphos Methyl,ng/L,<,5
J01-9224-2 (J01P25),45434.34375,Total,2683,NA,Azinphos Methyl,ng/L,<,5
J01-9992-1 (J01P27),45441.401388888888,Total,4415,NA,Azinphos Methyl,ng/L,<,5
J01-9131-1 (J01P28),45441.38958333333,Total,3079,NA,Azinphos Methyl,ng/L,<,5
J01-9007-1 (J02P05),45441.447222222225,Total,3350,NA,Azinphos Methyl,ng/L,<,5
J06-9079-1 (J06P03),45441.42083333333,Total,2776.69,NA,Azinphos Methyl,ng/L,<,5
J06-10011-1 (J06P01),45441.447222222225,Total,3448.62,NA,Azinphos Methyl,ng/L,<,5
J01-9082-2,45441.487500000003,Total,1287.87,NA,Azinphos Methyl,ng/L,<,5
L01-726-5,45455.361111111109,Total,3953,NA,Azinphos Methyl,ng/L,<,5
L01-728-5 (L01-DP),45455.4,Total,2015,NA,Azinphos Methyl,ng/L,<,5
K01-12159-2,45455.37222222222,Total,5213,NA,Azinphos Methyl,ng/L,<,5
K01-12159-3,45455.365277777775,Total,4828,NA,Azinphos Methyl,ng/L,<,5
I01-11010-1,45461.415972222225,Total,7938,NA,Azinphos Methyl,ng/L,<,5
I00-11437-1,45461.372916666667,Total,9394,NA,Azinphos Methyl,ng/L,<,5
L02-246-1 (L11P01),45462.494444444441,Total,1599,NA,Azinphos Methyl,ng/L,<,5
L02-641-1,45462.348611111112,Total,1216,NA,Azinphos Methyl,ng/L,<,5
L02-641-2,45462.361111111109,Total,1288,NA,Azinphos Methyl,ng/L,<,5
L01-731-1 (L08TBN2),45462.433333333334,Total,3226,NA,Azinphos Methyl,ng/L,<,5
L02-166-3 (L02P26),45462.390972222223,Total,1778,NA,Azinphos Methyl,ng/L,<,5
L05-503-1,45468.388888888891,Total,3088,NA,Azinphos Methyl,ng/L,<,5
L01-724-4 (L01P03),45468.438194444447,Total,3793,NA,Azinphos Methyl,ng/L,<,5
L01-724-1 (L01S01),45468.464583333334,Total,4689,NA,Azinphos Methyl,ng/L,<,5
M01-042-1 (M01S01),45469.380555555559,Total,4667,NA,Azinphos Methyl,ng/L,<,5
M02-032-1,45469.44027777778,Total,3122,NA,Azinphos Methyl,ng/L,<,5
SC1-2,45469.40347222222,Total,9238,NA,Azinphos Methyl,ng/L,<,5
M02-085-1 (M02P06),45469.470833333333,Total,6689,NA,Azinphos Methyl,ng/L,<,5
M02-085-2,45469.445138888892,Total,2401,NA,Azinphos Methyl,ng/L,<,5
K01-12126-1 (K01S01),45510.38958333333,Total,-99,NA,Azinphos Methyl,ng/L,<,5
J01-10004-1 (J01P01),45496.430555555555,Total,2310,NA,Azinphos Methyl,ng/L,<,5
L04-672-1,45496.382638888892,Total,3334,NA,Azinphos Methyl,ng/L,<,5
L04-266-5,45496.334722222222,Total,2634,NA,Azinphos Methyl,ng/L,<,5
L03-662-3 (L03P16),45498.354166666664,Total,1922,NA,Azinphos Methyl,ng/L,<,5
L03-214-2 (L03P18),45498.394444444442,Total,3250,NA,Azinphos Methyl,ng/L,<,5
L03-316-3 (L03P12),45498.435416666667,Total,4332,NA,Azinphos Methyl,ng/L,<,5
L03-418-8,45503.387499999997,Total,2938.26,NA,Azinphos Methyl,ng/L,<,5
K01-12177-1 (K01P07),45503.42083333333,Total,4080,NA,Azinphos Methyl,ng/L,<,5
J03-9221-1 (J03P02),45503.461111111108,Total,5269,NA,Azinphos Methyl,ng/L,<,5
J01-9224-1 (J01P24),45503.459722222222,Total,3616,NA,Azinphos Methyl,ng/L,<,5
J01-9224-2 (J01P25),45503.488888888889,Total,2028,NA,Azinphos Methyl,ng/L,<,5
L01-404-1,45503.368750000001,Total,1918,NA,Azinphos Methyl,ng/L,<,5
L01-340-1,45503.408333333333,Total,1665,NA,Azinphos Methyl,ng/L,<,5
L05-489-3,45503.418055555558,Total,3334,NA,Azinphos Methyl,ng/L,<,5
L05-049-1,45503.418055555558,Total,3848,NA,Azinphos Methyl,ng/L,<,5
L02-374-1 (L02P50),45503.427083333336,Total,2717,NA,Azinphos Methyl,ng/L,<,5
J01-9082-2,45504.386805555558,Total,1270,NA,Azinphos Methyl,ng/L,<,5
J06-9079-1 (J06P03),45504.440972222219,Total,2692,NA,Azinphos Methyl,ng/L,<,5
J06-10011-1 (J06P01),45504.466666666667,Total,3855,NA,Azinphos Methyl,ng/L,<,5
J01-9992-1 (J01P27),45510.415277777778,Total,3964,NA,Azinphos Methyl,ng/L,<,5
J01-9131-1 (J01P28),45510.375,Total,2381,NA,Azinphos Methyl,ng/L,<,5
J01-9007-1 (J02P05),45510.459722222222,Total,3252,NA,Azinphos Methyl,ng/L,<,5
L01-726-5,45510.375,Total,5625,NA,Azinphos Methyl,ng/L,<,5
L01-728-5 (L01-DP),45510.42083333333,Total,2634,NA,Azinphos Methyl,ng/L,<,5
K01-12159-3,45510.425000000003,Total,-99,NA,Azinphos Methyl,ng/L,<,5
K01-12159-2,45510.451388888891,Total,7455,NA,Azinphos Methyl,ng/L,<,5
I01-11010-1,45512.409722222219,Total,8356,NA,Azinphos Methyl,ng/L,<,5
I00-11437-1,45512.37777777778,Total,10154,NA,Azinphos Methyl,ng/L,<,5
L02-246-1 (L11P01),45517.459027777775,Total,1780,NA,Azinphos Methyl,ng/L,<,5
L02-641-1,45517.372916666667,Total,1339,NA,Azinphos Methyl,ng/L,<,5
L02-641-2,45517.369444444441,Total,1569,NA,Azinphos Methyl,ng/L,<,5
L01-731-1 (L08TBN2),45517.418749999997,Total,2730,NA,Azinphos Methyl,ng/L,<,5
L02-166-3 (L02P26),45517.427777777775,Total,2011,NA,Azinphos Methyl,ng/L,<,5
M01-042-1 (M01S01),45518.371527777781,Total,5832,NA,Azinphos Methyl,ng/L,<,5
M02-032-1,45518.456944444442,Total,2404,NA,Azinphos Methyl,ng/L,<,5
SC1-2,45518.386111111111,Total,6253,NA,Azinphos Methyl,ng/L,<,5
M02-085-1 (M02P06),45518.417361111111,Total,6945,NA,Azinphos Methyl,ng/L,<,5
M02-085-2,45518.413194444445,Total,2126,NA,Azinphos Methyl,ng/L,<,5
L05-503-1,45519.39166666667,Total,2350,NA,Azinphos Methyl,ng/L,<,5
L01-724-4 (L01P03),45519.430555555555,Total,1960,NA,Azinphos Methyl,ng/L,<,5
L01-724-1 (L01S01),45519.46597222222,Total,5505,NA,Azinphos Methyl,ng/L,<,5
K01-12126-1 (K01S01),45531.354166666664,Total,5380,NA,Azinphos Methyl,ng/L,<,5
L04-672-1,45427.383333333331,Total,3943,NA,Benz[a]anthracene,ng/L,<,2.5
L04-266-5,45427.343055555553,Total,3408,NA,Benz[a]anthracene,ng/L,<,2.5
J01-10004-1 (J01P01),45427.4,Total,2150,NA,Benz[a]anthracene,ng/L,<,2.5
L03-662-3 (L03P16),45428.369444444441,Total,2015,NA,Benz[a]anthracene,ng/L,<,2.5
L03-214-2 (L03P18),45428.402083333334,Total,2443,NA,Benz[a]anthracene,ng/L,<,2.5
L03-316-3 (L03P12),45428.447222222225,Total,5117,NA,Benz[a]anthracene,ng/L,<,2.5
L01-404-1,45433.34375,Total,1915,NA,Benz[a]anthracene,ng/L,<,2.5
L01-340-1,45433.381944444445,Total,1636,NA,Benz[a]anthracene,ng/L,<,2.5
L05-489-3,45433.376388888886,Total,3415,NA,Benz[a]anthracene,ng/L,<,2.5
L05-049-1,45433.417361111111,Total,3825,NA,Benz[a]anthracene,ng/L,<,2.5
L02-374-1 (L02P50),45433.424305555556,Total,2874,NA,Benz[a]anthracene,ng/L,<,2.5
L03-418-8,45434.432638888888,Total,2875,NA,Benz[a]anthracene,ng/L,<,2.5
K01-12177-1 (K01P07),45434.42083333333,Total,2719,NA,Benz[a]anthracene,ng/L,<,2.5
J03-9221-1 (J03P02),45434.455555555556,Total,5983,NA,Benz[a]anthracene,ng/L,<,2.5
J01-9224-1 (J01P24),45434.377083333333,Total,3753,NA,Benz[a]anthracene,ng/L,<,2.5
J01-9224-2 (J01P25),45434.34375,Total,2683,NA,Benz[a]anthracene,ng/L,<,2.5
J01-9992-1 (J01P27),45441.401388888888,Total,4415,NA,Benz[a]anthracene,ng/L,<,2.5
J01-9131-1 (J01P28),45441.38958333333,Total,3079,NA,Benz[a]anthracene,ng/L,<,2.5
J01-9007-1 (J02P05),45441.447222222225,Total,3350,NA,Benz[a]anthracene,ng/L,<,2.5
J06-9079-1 (J06P03),45441.42083333333,Total,2776.69,NA,Benz[a]anthracene,ng/L,<,2.5
J06-10011-1 (J06P01),45441.447222222225,Total,3448.62,NA,Benz[a]anthracene,ng/L,<,2.5
J01-9082-2,45441.487500000003,Total,1287.87,NA,Benz[a]anthracene,ng/L,<,2.5
L01-726-5,45455.361111111109,Total,3953,NA,Benz[a]anthracene,ng/L,<,2.5
L01-728-5 (L01-DP),45455.4,Total,2015,NA,Benz[a]anthracene,ng/L,<,2.5
K01-12159-2,45455.37222222222,Total,5213,NA,Benz[a]anthracene,ng/L,<,2.5
K01-12159-3,45455.365277777775,Total,4828,NA,Benz[a]anthracene,ng/L,<,2.5
I01-11010-1,45461.415972222225,Total,7938,NA,Benz[a]anthracene,ng/L,<,2.5
I00-11437-1,45461.372916666667,Total,9394,NA,Benz[a]anthracene,ng/L,<,2.5
L02-246-1 (L11P01),45462.494444444441,Total,1599,NA,Benz[a]anthracene,ng/L,<,2.5
L02-641-1,45462.348611111112,Total,1216,NA,Benz[a]anthracene,ng/L,<,2.5
L02-641-2,45462.361111111109,Total,1288,NA,Benz[a]anthracene,ng/L,<,2.5
L01-731-1 (L08TBN2),45462.433333333334,Total,3226,NA,Benz[a]anthracene,ng/L,<,2.5
L02-166-3 (L02P26),45462.390972222223,Total,1778,NA,Benz[a]anthracene,ng/L,<,2.5
L05-503-1,45468.388888888891,Total,3088,NA,Benz[a]anthracene,ng/L,<,2.5
L01-724-4 (L01P03),45468.438194444447,Total,3793,NA,Benz[a]anthracene,ng/L,<,2.5
L01-724-1 (L01S01),45468.464583333334,Total,4689,NA,Benz[a]anthracene,ng/L,<,2.5
M01-042-1 (M01S01),45469.380555555559,Total,4667,NA,Benz[a]anthracene,ng/L,<,2.5
M02-032-1,45469.44027777778,Total,3122,NA,Benz[a]anthracene,ng/L,<,2.5
SC1-2,45469.40347222222,Total,9238,NA,Benz[a]anthracene,ng/L,<,2.5
M02-085-1 (M02P06),45469.470833333333,Total,6689,NA,Benz[a]anthracene,ng/L,<,2.5
M02-085-2,45469.445138888892,Total,2401,NA,Benz[a]anthracene,ng/L,<,2.5
K01-12126-1 (K01S01),45510.38958333333,Total,-99,NA,Benz[a]anthracene,ng/L,<,2.5
J01-10004-1 (J01P01),45496.430555555555,Total,2310,NA,Benz[a]anthracene,ng/L,<,2.5
L04-672-1,45496.382638888892,Total,3334,NA,Benz[a]anthracene,ng/L,<,2.5
L04-266-5,45496.334722222222,Total,2634,NA,Benz[a]anthracene,ng/L,<,2.5
L03-662-3 (L03P16),45498.354166666664,Total,1922,NA,Benz[a]anthracene,ng/L,<,2.5
L03-214-2 (L03P18),45498.394444444442,Total,3250,NA,Benz[a]anthracene,ng/L,<,2.5
L03-316-3 (L03P12),45498.435416666667,Total,4332,NA,Benz[a]anthracene,ng/L,<,2.5
L03-418-8,45503.387499999997,Total,2938.26,NA,Benz[a]anthracene,ng/L,<,2.5
K01-12177-1 (K01P07),45503.42083333333,Total,4080,NA,Benz[a]anthracene,ng/L,<,2.5
J03-9221-1 (J03P02),45503.461111111108,Total,5269,NA,Benz[a]anthracene,ng/L,<,2.5
J01-9224-1 (J01P24),45503.459722222222,Total,3616,NA,Benz[a]anthracene,ng/L,NA,18.9
J01-9224-2 (J01P25),45503.488888888889,Total,2028,NA,Benz[a]anthracene,ng/L,<,2.5
L01-404-1,45503.368750000001,Total,1918,NA,Benz[a]anthracene,ng/L,<,2.5
L01-340-1,45503.408333333333,Total,1665,NA,Benz[a]anthracene,ng/L,<,2.5
L05-489-3,45503.418055555558,Total,3334,NA,Benz[a]anthracene,ng/L,<,2.5
L05-049-1,45503.418055555558,Total,3848,NA,Benz[a]anthracene,ng/L,<,2.5
L02-374-1 (L02P50),45503.427083333336,Total,2717,NA,Benz[a]anthracene,ng/L,<,2.5
J01-9082-2,45504.386805555558,Total,1270,NA,Benz[a]anthracene,ng/L,<,2.5
J06-9079-1 (J06P03),45504.440972222219,Total,2692,NA,Benz[a]anthracene,ng/L,<,2.5
J06-10011-1 (J06P01),45504.466666666667,Total,3855,NA,Benz[a]anthracene,ng/L,<,2.5
J01-9992-1 (J01P27),45510.415277777778,Total,3964,NA,Benz[a]anthracene,ng/L,NA,5.35
J01-9131-1 (J01P28),45510.375,Total,2381,NA,Benz[a]anthracene,ng/L,<,2.5
J01-9007-1 (J02P05),45510.459722222222,Total,3252,NA,Benz[a]anthracene,ng/L,<,2.5
L01-726-5,45510.375,Total,5625,NA,Benz[a]anthracene,ng/L,<,2.5
L01-728-5 (L01-DP),45510.42083333333,Total,2634,NA,Benz[a]anthracene,ng/L,<,2.5
K01-12159-3,45510.425000000003,Total,-99,NA,Benz[a]anthracene,ng/L,<,2.5
K01-12159-2,45510.451388888891,Total,7455,NA,Benz[a]anthracene,ng/L,<,2.5
I01-11010-1,45512.409722222219,Total,8356,NA,Benz[a]anthracene,ng/L,<,2.5
I00-11437-1,45512.37777777778,Total,10154,NA,Benz[a]anthracene,ng/L,<,2.5
L02-246-1 (L11P01),45517.459027777775,Total,1780,NA,Benz[a]anthracene,ng/L,<,2.5
L02-641-1,45517.372916666667,Total,1339,NA,Benz[a]anthracene,ng/L,<,2.5
L02-641-2,45517.369444444441,Total,1569,NA,Benz[a]anthracene,ng/L,NA,24.1
L01-731-1 (L08TBN2),45517.418749999997,Total,2730,NA,Benz[a]anthracene,ng/L,<,2.5
L02-166-3 (L02P26),45517.427777777775,Total,2011,NA,Benz[a]anthracene,ng/L,<,2.5
M01-042-1 (M01S01),45518.371527777781,Total,5832,NA,Benz[a]anthracene,ng/L,<,2.5
M02-032-1,45518.456944444442,Total,2404,NA,Benz[a]anthracene,ng/L,<,2.5
SC1-2,45518.386111111111,Total,6253,NA,Benz[a]anthracene,ng/L,<,2.5
M02-085-1 (M02P06),45518.417361111111,Total,6945,NA,Benz[a]anthracene,ng/L,<,2.5
M02-085-2,45518.413194444445,Total,2126,NA,Benz[a]anthracene,ng/L,<,2.5
L05-503-1,45519.39166666667,Total,2350,NA,Benz[a]anthracene,ng/L,<,2.5
L01-724-4 (L01P03),45519.430555555555,Total,1960,NA,Benz[a]anthracene,ng/L,<,2.5
L01-724-1 (L01S01),45519.46597222222,Total,5505,NA,Benz[a]anthracene,ng/L,<,2.5
K01-12126-1 (K01S01),45531.354166666664,Total,5380,NA,Benz[a]anthracene,ng/L,<,2.5
L04-672-1,45427.383333333331,Total,3943,NA,Benzo[a]pyrene,ng/L,<,2.5
L04-266-5,45427.343055555553,Total,3408,NA,Benzo[a]pyrene,ng/L,<,2.5
J01-10004-1 (J01P01),45427.4,Total,2150,NA,Benzo[a]pyrene,ng/L,<,2.5
L03-662-3 (L03P16),45428.369444444441,Total,2015,NA,Benzo[a]pyrene,ng/L,<,2.5
L03-214-2 (L03P18),45428.402083333334,Total,2443,NA,Benzo[a]pyrene,ng/L,<,2.5
L03-316-3 (L03P12),45428.447222222225,Total,5117,NA,Benzo[a]pyrene,ng/L,<,2.5
L01-404-1,45433.34375,Total,1915,NA,Benzo[a]pyrene,ng/L,<,2.5
L01-340-1,45433.381944444445,Total,1636,NA,Benzo[a]pyrene,ng/L,<,2.5
L05-489-3,45433.376388888886,Total,3415,NA,Benzo[a]pyrene,ng/L,<,2.5
L05-049-1,45433.417361111111,Total,3825,NA,Benzo[a]pyrene,ng/L,<,2.5
L02-374-1 (L02P50),45433.424305555556,Total,2874,NA,Benzo[a]pyrene,ng/L,<,2.5
L03-418-8,45434.432638888888,Total,2875,NA,Benzo[a]pyrene,ng/L,<,2.5
K01-12177-1 (K01P07),45434.42083333333,Total,2719,NA,Benzo[a]pyrene,ng/L,<,2.5
J03-9221-1 (J03P02),45434.455555555556,Total,5983,NA,Benzo[a]pyrene,ng/L,<,2.5
J01-9224-2 (J01P25),45434.34375,Total,2683,NA,Benzo[a]pyrene,ng/L,NA,7.17
J01-9992-1 (J01P27),45441.401388888888,Total,4415,NA,Benzo[a]pyrene,ng/L,<,2.5
J01-9131-1 (J01P28),45441.38958333333,Total,3079,NA,Benzo[a]pyrene,ng/L,<,2.5
J01-9007-1 (J02P05),45441.447222222225,Total,3350,NA,Benzo[a]pyrene,ng/L,<,2.5
J06-9079-1 (J06P03),45441.42083333333,Total,2776.69,NA,Benzo[a]pyrene,ng/L,<,2.5
J06-10011-1 (J06P01),45441.447222222225,Total,3448.62,NA,Benzo[a]pyrene,ng/L,<,2.5
J01-9082-2,45441.487500000003,Total,1287.87,NA,Benzo[a]pyrene,ng/L,<,2.5
L01-726-5,45455.361111111109,Total,3953,NA,Benzo[a]pyrene,ng/L,<,2.5
K01-12159-2,45455.37222222222,Total,5213,NA,Benzo[a]pyrene,ng/L,<,2.5
K01-12159-3,45455.365277777775,Total,4828,NA,Benzo[a]pyrene,ng/L,<,2.5
I01-11010-1,45461.415972222225,Total,7938,NA,Benzo[a]pyrene,ng/L,<,2.5
I00-11437-1,45461.372916666667,Total,9394,NA,Benzo[a]pyrene,ng/L,<,2.5
L02-246-1 (L11P01),45462.494444444441,Total,1599,NA,Benzo[a]pyrene,ng/L,<,2.5
L02-641-1,45462.348611111112,Total,1216,NA,Benzo[a]pyrene,ng/L,<,2.5
L02-641-2,45462.361111111109,Total,1288,NA,Benzo[a]pyrene,ng/L,<,2.5
L01-731-1 (L08TBN2),45462.433333333334,Total,3226,NA,Benzo[a]pyrene,ng/L,<,2.5
L02-166-3 (L02P26),45462.390972222223,Total,1778,NA,Benzo[a]pyrene,ng/L,<,2.5
L05-503-1,45468.388888888891,Total,3088,NA,Benzo[a]pyrene,ng/L,<,2.5
L01-724-4 (L01P03),45468.438194444447,Total,3793,NA,Benzo[a]pyrene,ng/L,<,2.5
L01-724-1 (L01S01),45468.464583333334,Total,4689,NA,Benzo[a]pyrene,ng/L,<,2.5
M01-042-1 (M01S01),45469.380555555559,Total,4667,NA,Benzo[a]pyrene,ng/L,<,2.5
M02-032-1,45469.44027777778,Total,3122,NA,Benzo[a]pyrene,ng/L,<,2.5
SC1-2,45469.40347222222,Total,9238,NA,Benzo[a]pyrene,ng/L,<,2.5
M02-085-1 (M02P06),45469.470833333333,Total,6689,NA,Benzo[a]pyrene,ng/L,<,2.5
M02-085-2,45469.445138888892,Total,2401,NA,Benzo[a]pyrene,ng/L,<,2.5
K01-12126-1 (K01S01),45510.38958333333,Total,-99,NA,Benzo[a]pyrene,ng/L,<,2.5
J01-10004-1 (J01P01),45496.430555555555,Total,2310,NA,Benzo[a]pyrene,ng/L,<,2.5
L04-672-1,45496.382638888892,Total,3334,NA,Benzo[a]pyrene,ng/L,<,2.5
L04-266-5,45496.334722222222,Total,2634,NA,Benzo[a]pyrene,ng/L,<,2.5
L03-662-3 (L03P16),45498.354166666664,Total,1922,NA,Benzo[a]pyrene,ng/L,<,2.5
L03-214-2 (L03P18),45498.394444444442,Total,3250,NA,Benzo[a]pyrene,ng/L,<,2.5
L03-316-3 (L03P12),45498.435416666667,Total,4332,NA,Benzo[a]pyrene,ng/L,<,2.5
L03-418-8,45503.387499999997,Total,2938.26,NA,Benzo[a]pyrene,ng/L,<,2.5
K01-12177-1 (K01P07),45503.42083333333,Total,4080,NA,Benzo[a]pyrene,ng/L,<,2.5
J03-9221-1 (J03P02),45503.461111111108,Total,5269,NA,Benzo[a]pyrene,ng/L,<,2.5
J01-9224-1 (J01P24),45503.459722222222,Total,3616,NA,Benzo[a]pyrene,ng/L,NA,8.63
J01-9224-2 (J01P25),45503.488888888889,Total,2028,NA,Benzo[a]pyrene,ng/L,<,2.5
L01-404-1,45503.368750000001,Total,1918,NA,Benzo[a]pyrene,ng/L,<,2.5
L01-340-1,45503.408333333333,Total,1665,NA,Benzo[a]pyrene,ng/L,<,2.5
L05-489-3,45503.418055555558,Total,3334,NA,Benzo[a]pyrene,ng/L,<,2.5
L05-049-1,45503.418055555558,Total,3848,NA,Benzo[a]pyrene,ng/L,<,2.5
L02-374-1 (L02P50),45503.427083333336,Total,2717,NA,Benzo[a]pyrene,ng/L,<,2.5
J01-9082-2,45504.386805555558,Total,1270,NA,Benzo[a]pyrene,ng/L,<,2.5
J06-9079-1 (J06P03),45504.440972222219,Total,2692,NA,Benzo[a]pyrene,ng/L,<,2.5
J06-10011-1 (J06P01),45504.466666666667,Total,3855,NA,Benzo[a]pyrene,ng/L,<,2.5
J01-9131-1 (J01P28),45510.375,Total,2381,NA,Benzo[a]pyrene,ng/L,<,2.5
J01-9007-1 (J02P05),45510.459722222222,Total,3252,NA,Benzo[a]pyrene,ng/L,<,2.5
L01-726-5,45510.375,Total,5625,NA,Benzo[a]pyrene,ng/L,<,2.5
L01-728-5 (L01-DP),45510.42083333333,Total,2634,NA,Benzo[a]pyrene,ng/L,<,2.5
K01-12159-3,45510.425000000003,Total,-99,NA,Benzo[a]pyrene,ng/L,<,2.5
K01-12159-2,45510.451388888891,Total,7455,NA,Benzo[a]pyrene,ng/L,<,2.5
I01-11010-1,45512.409722222219,Total,8356,NA,Benzo[a]pyrene,ng/L,<,2.5
I00-11437-1,45512.37777777778,Total,10154,NA,Benzo[a]pyrene,ng/L,<,2.5
L02-246-1 (L11P01),45517.459027777775,Total,1780,NA,Benzo[a]pyrene,ng/L,<,2.5
L02-641-1,45517.372916666667,Total,1339,NA,Benzo[a]pyrene,ng/L,<,2.5
L01-731-1 (L08TBN2),45517.418749999997,Total,2730,NA,Benzo[a]pyrene,ng/L,<,2.5
L02-166-3 (L02P26),45517.427777777775,Total,2011,NA,Benzo[a]pyrene,ng/L,<,2.5
M01-042-1 (M01S01),45518.371527777781,Total,5832,NA,Benzo[a]pyrene,ng/L,<,2.5
M02-032-1,45518.456944444442,Total,2404,NA,Benzo[a]pyrene,ng/L,<,2.5
SC1-2,45518.386111111111,Total,6253,NA,Benzo[a]pyrene,ng/L,<,2.5
M02-085-1 (M02P06),45518.417361111111,Total,6945,NA,Benzo[a]pyrene,ng/L,<,2.5
M02-085-2,45518.413194444445,Total,2126,NA,Benzo[a]pyrene,ng/L,<,2.5
L05-503-1,45519.39166666667,Total,2350,NA,Benzo[a]pyrene,ng/L,<,2.5
L01-724-4 (L01P03),45519.430555555555,Total,1960,NA,Benzo[a]pyrene,ng/L,<,2.5
L01-724-1 (L01S01),45519.46597222222,Total,5505,NA,Benzo[a]pyrene,ng/L,<,2.5
K01-12126-1 (K01S01),45531.354166666664,Total,5380,NA,Benzo[a]pyrene,ng/L,<,2.5
L04-672-1,45427.383333333331,Total,3943,NA,Benzo[b]fluoranthene,ng/L,<,2.5
L04-266-5,45427.343055555553,Total,3408,NA,Benzo[b]fluoranthene,ng/L,<,2.5
J01-10004-1 (J01P01),45427.4,Total,2150,NA,Benzo[b]fluoranthene,ng/L,<,2.5
L03-662-3 (L03P16),45428.369444444441,Total,2015,NA,Benzo[b]fluoranthene,ng/L,<,2.5
L03-214-2 (L03P18),45428.402083333334,Total,2443,NA,Benzo[b]fluoranthene,ng/L,<,2.5
L03-316-3 (L03P12),45428.447222222225,Total,5117,NA,Benzo[b]fluoranthene,ng/L,<,2.5
L01-404-1,45433.34375,Total,1915,NA,Benzo[b]fluoranthene,ng/L,<,2.5
L01-340-1,45433.381944444445,Total,1636,NA,Benzo[b]fluoranthene,ng/L,<,2.5
L05-489-3,45433.376388888886,Total,3415,NA,Benzo[b]fluoranthene,ng/L,<,2.5
L05-049-1,45433.417361111111,Total,3825,NA,Benzo[b]fluoranthene,ng/L,<,2.5
L02-374-1 (L02P50),45433.424305555556,Total,2874,NA,Benzo[b]fluoranthene,ng/L,<,2.5
L03-418-8,45434.432638888888,Total,2875,NA,Benzo[b]fluoranthene,ng/L,<,2.5
K01-12177-1 (K01P07),45434.42083333333,Total,2719,NA,Benzo[b]fluoranthene,ng/L,<,2.5
J01-9224-1 (J01P24),45434.377083333333,Total,3753,NA,Benzo[b]fluoranthene,ng/L,<,2.5
J01-9992-1 (J01P27),45441.401388888888,Total,4415,NA,Benzo[b]fluoranthene,ng/L,<,2.5
J01-9131-1 (J01P28),45441.38958333333,Total,3079,NA,Benzo[b]fluoranthene,ng/L,<,2.5
J01-9007-1 (J02P05),45441.447222222225,Total,3350,NA,Benzo[b]fluoranthene,ng/L,<,2.5
J06-9079-1 (J06P03),45441.42083333333,Total,2776.69,NA,Benzo[b]fluoranthene,ng/L,<,2.5
J06-10011-1 (J06P01),45441.447222222225,Total,3448.62,NA,Benzo[b]fluoranthene,ng/L,<,2.5
J01-9082-2,45441.487500000003,Total,1287.87,NA,Benzo[b]fluoranthene,ng/L,<,2.5
L01-726-5,45455.361111111109,Total,3953,NA,Benzo[b]fluoranthene,ng/L,<,2.5
K01-12159-2,45455.37222222222,Total,5213,NA,Benzo[b]fluoranthene,ng/L,<,2.5
K01-12159-3,45455.365277777775,Total,4828,NA,Benzo[b]fluoranthene,ng/L,<,2.5
I01-11010-1,45461.415972222225,Total,7938,NA,Benzo[b]fluoranthene,ng/L,<,2.5
I00-11437-1,45461.372916666667,Total,9394,NA,Benzo[b]fluoranthene,ng/L,<,2.5
L02-246-1 (L11P01),45462.494444444441,Total,1599,NA,Benzo[b]fluoranthene,ng/L,<,2.5
L02-641-1,45462.348611111112,Total,1216,NA,Benzo[b]fluoranthene,ng/L,<,2.5
L02-641-2,45462.361111111109,Total,1288,NA,Benzo[b]fluoranthene,ng/L,<,2.5
L01-731-1 (L08TBN2),45462.433333333334,Total,3226,NA,Benzo[b]fluoranthene,ng/L,<,2.5
L02-166-3 (L02P26),45462.390972222223,Total,1778,NA,Benzo[b]fluoranthene,ng/L,<,2.5
L05-503-1,45468.388888888891,Total,3088,NA,Benzo[b]fluoranthene,ng/L,<,2.5
L01-724-4 (L01P03),45468.438194444447,Total,3793,NA,Benzo[b]fluoranthene,ng/L,<,2.5
L01-724-1 (L01S01),45468.464583333334,Total,4689,NA,Benzo[b]fluoranthene,ng/L,<,2.5
M01-042-1 (M01S01),45469.380555555559,Total,4667,NA,Benzo[b]fluoranthene,ng/L,<,2.5
M02-032-1,45469.44027777778,Total,3122,NA,Benzo[b]fluoranthene,ng/L,<,2.5
SC1-2,45469.40347222222,Total,9238,NA,Benzo[b]fluoranthene,ng/L,<,2.5
M02-085-1 (M02P06),45469.470833333333,Total,6689,NA,Benzo[b]fluoranthene,ng/L,<,2.5
M02-085-2,45469.445138888892,Total,2401,NA,Benzo[b]fluoranthene,ng/L,<,2.5
K01-12126-1 (K01S01),45510.38958333333,Total,-99,NA,Benzo[b]fluoranthene,ng/L,<,2.5
