Station2,date,Sample Type,Field Specific Conductivity,Date,Parameter,Units,Qualifier,Result,ResultAvg
M02-085-1 (M02P06),45518.417361111111,Total,6945,NA,Calcium,ug/L,NA,597,598
M02-085-2,45518.413194444445,Total,2126,NA,Calcium,ug/L,NA,147,160.5
L05-503-1,45519.39166666667,Total,2350,NA,Calcium,ug/L,NA,191,229.5
L01-724-4 (L01P03),45519.430555555555,Total,1960,NA,Calcium,ug/L,NA,98.4,142.2
L01-724-1 (L01S01),45519.46597222222,Total,5505,NA,Calcium,ug/L,NA,257,235.5
K01-12126-1 (K01S01),45531.354166666664,Total,5380,NA,Calcium,ug/L,NA,350,349
L04-672-1,45427.383333333331,Total,3943,NA,Chloride,mg/L,NA,510,545
L04-266-5,45427.343055555553,Total,3408,NA,Chloride,mg/L,NA,340,340
J01-10004-1 (J01P01),45427.4,Total,2150,NA,Chloride,mg/L,NA,250,265
L03-662-3 (L03P16),45428.369444444441,Total,2015,NA,Chloride,mg/L,NA,220,215
L03-214-2 (L03P18),45428.402083333334,Total,2443,NA,Chloride,mg/L,NA,200,235
L03-316-3 (L03P12),45428.447222222225,Total,5117,NA,Chloride,mg/L,NA,500,500
L01-404-1,45433.34375,Total,1915,NA,Chloride,mg/L,NA,260,255
L01-340-1,45433.381944444445,Total,1636,NA,Chloride,mg/L,NA,170,165
L05-489-3,45433.376388888886,Total,3415,NA,Chloride,mg/L,NA,320,320
L05-049-1,45433.417361111111,Total,3825,NA,Chloride,mg/L,NA,350,330
L02-374-1 (L02P50),45433.424305555556,Total,2874,NA,Chloride,mg/L,NA,360,325
L03-418-8,45434.432638888888,Total,2875,NA,Chloride,mg/L,NA,300,310
K01-12177-1 (K01P07),45434.42083333333,Total,2719,NA,Chloride,mg/L,NA,280,390
J03-9221-1 (J03P02),45434.455555555556,Total,5983,NA,Chloride,mg/L,NA,540,510
J01-9224-1 (J01P24),45434.377083333333,Total,3753,NA,Chloride,mg/L,NA,360,355
J01-9224-2 (J01P25),45434.34375,Total,2683,NA,Chloride,mg/L,NA,230,225
J01-9992-1 (J01P27),45441.401388888888,Total,4415,NA,Chloride,mg/L,NA,710,635
J01-9131-1 (J01P28),45441.38958333333,Total,3079,NA,Chloride,mg/L,NA,330,300
J01-9007-1 (J02P05),45441.447222222225,Total,3350,NA,Chloride,mg/L,NA,280,420
J06-9079-1 (J06P03),45441.42083333333,Total,2776.69,NA,Chloride,mg/L,NA,470,425
J06-10011-1 (J06P01),45441.447222222225,Total,3448.62,NA,Chloride,mg/L,NA,390,395
J01-9082-2,45441.487500000003,Total,1287.87,NA,Chloride,mg/L,NA,120,120
L01-726-5,45455.361111111109,Total,3953,NA,Chloride,mg/L,NA,610,595
L01-728-5 (L01-DP),45455.4,Total,2015,NA,Chloride,mg/L,NA,270,265
K01-12159-2,45455.37222222222,Total,5213,NA,Chloride,mg/L,NA,1000,995
K01-12159-3,45455.365277777775,Total,4828,NA,Chloride,mg/L,NA,950,950
I01-11010-1,45461.415972222225,Total,7938,NA,Chloride,mg/L,NA,1400,1400
I00-11437-1,45461.372916666667,Total,9394,NA,Chloride,mg/L,NA,1800,1850
L02-246-1 (L11P01),45462.494444444441,Total,1599,NA,Chloride,mg/L,NA,170,175
L02-641-1,45462.348611111112,Total,1216,NA,Chloride,mg/L,NA,120,120
L02-641-2,45462.361111111109,Total,1288,NA,Chloride,mg/L,NA,120,145
L01-731-1 (L08TBN2),45462.433333333334,Total,3226,NA,Chloride,mg/L,NA,510,445
L02-166-3 (L02P26),45462.390972222223,Total,1778,NA,Chloride,mg/L,NA,180,180
L05-503-1,45468.388888888891,Total,3088,NA,Chloride,mg/L,NA,400,335
L01-724-4 (L01P03),45468.438194444447,Total,3793,NA,Chloride,mg/L,NA,540,395
L01-724-1 (L01S01),45468.464583333334,Total,4689,NA,Chloride,mg/L,NA,790,895
M01-042-1 (M01S01),45469.380555555559,Total,4667,NA,Chloride,mg/L,NA,340,380
M02-032-1,45469.44027777778,Total,3122,NA,Chloride,mg/L,NA,330,330
SC1-2,45469.40347222222,Total,9238,NA,Chloride,mg/L,NA,1000,915
M02-085-1 (M02P06),45469.470833333333,Total,6689,NA,Chloride,mg/L,NA,770,800
M02-085-2,45469.445138888892,Total,2401,NA,Chloride,mg/L,NA,310,285
K01-12126-1 (K01S01),45510.38958333333,Total,-99,NA,Chloride,mg/L,NA,1000,970
J01-10004-1 (J01P01),45496.430555555555,Total,2310,NA,Chloride,mg/L,NA,280,265
L04-672-1,45496.382638888892,Total,3334,NA,Chloride,mg/L,NA,580,545
L04-266-5,45496.334722222222,Total,2634,NA,Chloride,mg/L,NA,340,340
L03-662-3 (L03P16),45498.354166666664,Total,1922,NA,Chloride,mg/L,NA,210,215
L03-214-2 (L03P18),45498.394444444442,Total,3250,NA,Chloride,mg/L,NA,270,235
L03-316-3 (L03P12),45498.435416666667,Total,4332,NA,Chloride,mg/L,NA,500,500
L03-418-8,45503.387499999997,Total,2938.26,NA,Chloride,mg/L,NA,320,310
K01-12177-1 (K01P07),45503.42083333333,Total,4080,NA,Chloride,mg/L,NA,500,390
J03-9221-1 (J03P02),45503.461111111108,Total,5269,NA,Chloride,mg/L,NA,480,510
J01-9224-1 (J01P24),45503.459722222222,Total,3616,NA,Chloride,mg/L,NA,350,355
J01-9224-2 (J01P25),45503.488888888889,Total,2028,NA,Chloride,mg/L,NA,220,225
L01-404-1,45503.368750000001,Total,1918,NA,Chloride,mg/L,NA,250,255
L01-340-1,45503.408333333333,Total,1665,NA,Chloride,mg/L,NA,160,165
L05-489-3,45503.418055555558,Total,3334,NA,Chloride,mg/L,NA,320,320
L05-049-1,45503.418055555558,Total,3848,NA,Chloride,mg/L,NA,310,330
L02-374-1 (L02P50),45503.427083333336,Total,2717,NA,Chloride,mg/L,NA,290,325
J01-9082-2,45504.386805555558,Total,1270,NA,Chloride,mg/L,NA,120,120
J06-9079-1 (J06P03),45504.440972222219,Total,2692,NA,Chloride,mg/L,NA,380,425
J06-10011-1 (J06P01),45504.466666666667,Total,3855,NA,Chloride,mg/L,NA,400,395
J01-9992-1 (J01P27),45510.415277777778,Total,3964,NA,Chloride,mg/L,NA,560,635
J01-9131-1 (J01P28),45510.375,Total,2381,NA,Chloride,mg/L,NA,270,300
J01-9007-1 (J02P05),45510.459722222222,Total,3252,NA,Chloride,mg/L,NA,560,420
L01-726-5,45510.375,Total,5625,NA,Chloride,mg/L,NA,580,595
L01-728-5 (L01-DP),45510.42083333333,Total,2634,NA,Chloride,mg/L,NA,260,265
K01-12159-3,45510.425000000003,Total,-99,NA,Chloride,mg/L,NA,950,950
K01-12159-2,45510.451388888891,Total,7455,NA,Chloride,mg/L,NA,990,995
I01-11010-1,45512.409722222219,Total,8356,NA,Chloride,mg/L,NA,1400,1400
I00-11437-1,45512.37777777778,Total,10154,NA,Chloride,mg/L,NA,1900,1850
L02-246-1 (L11P01),45517.459027777775,Total,1780,NA,Chloride,mg/L,NA,180,175
L02-641-1,45517.372916666667,Total,1339,NA,Chloride,mg/L,NA,120,120
L02-641-2,45517.369444444441,Total,1569,NA,Chloride,mg/L,NA,170,145
L01-731-1 (L08TBN2),45517.418749999997,Total,2730,NA,Chloride,mg/L,NA,380,445
L02-166-3 (L02P26),45517.427777777775,Total,2011,NA,Chloride,mg/L,NA,180,180
M01-042-1 (M01S01),45518.371527777781,Total,5832,NA,Chloride,mg/L,NA,420,380
M02-032-1,45518.456944444442,Total,2404,NA,Chloride,mg/L,NA,330,330
SC1-2,45518.386111111111,Total,6253,NA,Chloride,mg/L,NA,830,915
M02-085-1 (M02P06),45518.417361111111,Total,6945,NA,Chloride,mg/L,NA,830,800
M02-085-2,45518.413194444445,Total,2126,NA,Chloride,mg/L,NA,260,285
L05-503-1,45519.39166666667,Total,2350,NA,Chloride,mg/L,NA,270,335
L01-724-4 (L01P03),45519.430555555555,Total,1960,NA,Chloride,mg/L,NA,250,395
L01-724-1 (L01S01),45519.46597222222,Total,5505,NA,Chloride,mg/L,NA,1000,895
K01-12126-1 (K01S01),45531.354166666664,Total,5380,NA,Chloride,mg/L,NA,940,970
L04-672-1,45427.383333333331,Total,3943,NA,Chlorpyrifos,ng/L,<,0.5,0.5
L04-266-5,45427.343055555553,Total,3408,NA,Chlorpyrifos,ng/L,<,0.5,0.5
J01-10004-1 (J01P01),45427.4,Total,2150,NA,Chlorpyrifos,ng/L,<,0.5,0.5
L03-662-3 (L03P16),45428.369444444441,Total,2015,NA,Chlorpyrifos,ng/L,<,0.5,0.5
L03-214-2 (L03P18),45428.402083333334,Total,2443,NA,Chlorpyrifos,ng/L,<,0.5,0.5
L03-316-3 (L03P12),45428.447222222225,Total,5117,NA,Chlorpyrifos,ng/L,<,0.5,0.5
L01-404-1,45433.34375,Total,1915,NA,Chlorpyrifos,ng/L,<,0.5,0.5
L01-340-1,45433.381944444445,Total,1636,NA,Chlorpyrifos,ng/L,<,0.5,0.5
L05-489-3,45433.376388888886,Total,3415,NA,Chlorpyrifos,ng/L,<,0.5,0.5
L05-049-1,45433.417361111111,Total,3825,NA,Chlorpyrifos,ng/L,<,0.5,0.5
L02-374-1 (L02P50),45433.424305555556,Total,2874,NA,Chlorpyrifos,ng/L,<,0.5,0.5
L03-418-8,45434.432638888888,Total,2875,NA,Chlorpyrifos,ng/L,<,0.5,0.5
K01-12177-1 (K01P07),45434.42083333333,Total,2719,NA,Chlorpyrifos,ng/L,<,0.5,0.5
J03-9221-1 (J03P02),45434.455555555556,Total,5983,NA,Chlorpyrifos,ng/L,<,0.5,0.5
J01-9224-1 (J01P24),45434.377083333333,Total,3753,NA,Chlorpyrifos,ng/L,<,0.5,0.5
J01-9224-2 (J01P25),45434.34375,Total,2683,NA,Chlorpyrifos,ng/L,<,0.5,0.5
J01-9992-1 (J01P27),45441.401388888888,Total,4415,NA,Chlorpyrifos,ng/L,<,0.5,0.5
J01-9131-1 (J01P28),45441.38958333333,Total,3079,NA,Chlorpyrifos,ng/L,<,0.5,0.5
J01-9007-1 (J02P05),45441.447222222225,Total,3350,NA,Chlorpyrifos,ng/L,<,0.5,0.5
J06-9079-1 (J06P03),45441.42083333333,Total,2776.69,NA,Chlorpyrifos,ng/L,<,0.5,0.5
J06-10011-1 (J06P01),45441.447222222225,Total,3448.62,NA,Chlorpyrifos,ng/L,<,0.5,0.5
J01-9082-2,45441.487500000003,Total,1287.87,NA,Chlorpyrifos,ng/L,<,0.5,0.5
L01-726-5,45455.361111111109,Total,3953,NA,Chlorpyrifos,ng/L,<,0.5,0.5
L01-728-5 (L01-DP),45455.4,Total,2015,NA,Chlorpyrifos,ng/L,<,0.5,0.5
K01-12159-2,45455.37222222222,Total,5213,NA,Chlorpyrifos,ng/L,<,0.5,0.5
K01-12159-3,45455.365277777775,Total,4828,NA,Chlorpyrifos,ng/L,<,0.5,0.5
I01-11010-1,45461.415972222225,Total,7938,NA,Chlorpyrifos,ng/L,<,0.5,0.5
I00-11437-1,45461.372916666667,Total,9394,NA,Chlorpyrifos,ng/L,<,0.5,0.5
L02-246-1 (L11P01),45462.494444444441,Total,1599,NA,Chlorpyrifos,ng/L,<,0.5,0.5
L02-641-1,45462.348611111112,Total,1216,NA,Chlorpyrifos,ng/L,<,0.5,0.5
L02-641-2,45462.361111111109,Total,1288,NA,Chlorpyrifos,ng/L,<,0.5,0.5
L01-731-1 (L08TBN2),45462.433333333334,Total,3226,NA,Chlorpyrifos,ng/L,<,0.5,0.5
L02-166-3 (L02P26),45462.390972222223,Total,1778,NA,Chlorpyrifos,ng/L,<,0.5,0.5
L05-503-1,45468.388888888891,Total,3088,NA,Chlorpyrifos,ng/L,NA,1.98,1.24
L01-724-4 (L01P03),45468.438194444447,Total,3793,NA,Chlorpyrifos,ng/L,<,0.5,0.5
L01-724-1 (L01S01),45468.464583333334,Total,4689,NA,Chlorpyrifos,ng/L,<,0.5,0.5
M01-042-1 (M01S01),45469.380555555559,Total,4667,NA,Chlorpyrifos,ng/L,<,0.5,0.5
M02-032-1,45469.44027777778,Total,3122,NA,Chlorpyrifos,ng/L,<,0.5,0.5
SC1-2,45469.40347222222,Total,9238,NA,Chlorpyrifos,ng/L,<,0.5,0.5
M02-085-1 (M02P06),45469.470833333333,Total,6689,NA,Chlorpyrifos,ng/L,<,0.5,0.5
M02-085-2,45469.445138888892,Total,2401,NA,Chlorpyrifos,ng/L,<,0.5,0.5
K01-12126-1 (K01S01),45510.38958333333,Total,-99,NA,Chlorpyrifos,ng/L,<,0.5,0.5
J01-10004-1 (J01P01),45496.430555555555,Total,2310,NA,Chlorpyrifos,ng/L,<,0.5,0.5
L04-672-1,45496.382638888892,Total,3334,NA,Chlorpyrifos,ng/L,<,0.5,0.5
L04-266-5,45496.334722222222,Total,2634,NA,Chlorpyrifos,ng/L,<,0.5,0.5
L03-662-3 (L03P16),45498.354166666664,Total,1922,NA,Chlorpyrifos,ng/L,<,0.5,0.5
L03-214-2 (L03P18),45498.394444444442,Total,3250,NA,Chlorpyrifos,ng/L,<,0.5,0.5
L03-316-3 (L03P12),45498.435416666667,Total,4332,NA,Chlorpyrifos,ng/L,<,0.5,0.5
L03-418-8,45503.387499999997,Total,2938.26,NA,Chlorpyrifos,ng/L,<,0.5,0.5
K01-12177-1 (K01P07),45503.42083333333,Total,4080,NA,Chlorpyrifos,ng/L,<,0.5,0.5
J03-9221-1 (J03P02),45503.461111111108,Total,5269,NA,Chlorpyrifos,ng/L,<,0.5,0.5
J01-9224-1 (J01P24),45503.459722222222,Total,3616,NA,Chlorpyrifos,ng/L,<,0.5,0.5
J01-9224-2 (J01P25),45503.488888888889,Total,2028,NA,Chlorpyrifos,ng/L,<,0.5,0.5
L01-404-1,45503.368750000001,Total,1918,NA,Chlorpyrifos,ng/L,<,0.5,0.5
L01-340-1,45503.408333333333,Total,1665,NA,Chlorpyrifos,ng/L,<,0.5,0.5
L05-489-3,45503.418055555558,Total,3334,NA,Chlorpyrifos,ng/L,<,0.5,0.5
L05-049-1,45503.418055555558,Total,3848,NA,Chlorpyrifos,ng/L,<,0.5,0.5
L02-374-1 (L02P50),45503.427083333336,Total,2717,NA,Chlorpyrifos,ng/L,<,0.5,0.5
J01-9082-2,45504.386805555558,Total,1270,NA,Chlorpyrifos,ng/L,<,0.5,0.5
J06-9079-1 (J06P03),45504.440972222219,Total,2692,NA,Chlorpyrifos,ng/L,<,0.5,0.5
J06-10011-1 (J06P01),45504.466666666667,Total,3855,NA,Chlorpyrifos,ng/L,<,0.5,0.5
J01-9992-1 (J01P27),45510.415277777778,Total,3964,NA,Chlorpyrifos,ng/L,<,0.5,0.5
J01-9131-1 (J01P28),45510.375,Total,2381,NA,Chlorpyrifos,ng/L,<,0.5,0.5
J01-9007-1 (J02P05),45510.459722222222,Total,3252,NA,Chlorpyrifos,ng/L,<,0.5,0.5
L01-726-5,45510.375,Total,5625,NA,Chlorpyrifos,ng/L,<,0.5,0.5
L01-728-5 (L01-DP),45510.42083333333,Total,2634,NA,Chlorpyrifos,ng/L,<,0.5,0.5
K01-12159-3,45510.425000000003,Total,-99,NA,Chlorpyrifos,ng/L,<,0.5,0.5
K01-12159-2,45510.451388888891,Total,7455,NA,Chlorpyrifos,ng/L,<,0.5,0.5
I01-11010-1,45512.409722222219,Total,8356,NA,Chlorpyrifos,ng/L,<,0.5,0.5
I00-11437-1,45512.37777777778,Total,10154,NA,Chlorpyrifos,ng/L,<,0.5,0.5
L02-246-1 (L11P01),45517.459027777775,Total,1780,NA,Chlorpyrifos,ng/L,<,0.5,0.5
L02-641-1,45517.372916666667,Total,1339,NA,Chlorpyrifos,ng/L,<,0.5,0.5
L02-641-2,45517.369444444441,Total,1569,NA,Chlorpyrifos,ng/L,<,0.5,0.5
L01-731-1 (L08TBN2),45517.418749999997,Total,2730,NA,Chlorpyrifos,ng/L,<,0.5,0.5
L02-166-3 (L02P26),45517.427777777775,Total,2011,NA,Chlorpyrifos,ng/L,<,0.5,0.5
M01-042-1 (M01S01),45518.371527777781,Total,5832,NA,Chlorpyrifos,ng/L,<,0.5,0.5
M02-032-1,45518.456944444442,Total,2404,NA,Chlorpyrifos,ng/L,<,0.5,0.5
SC1-2,45518.386111111111,Total,6253,NA,Chlorpyrifos,ng/L,<,0.5,0.5
M02-085-1 (M02P06),45518.417361111111,Total,6945,NA,Chlorpyrifos,ng/L,<,0.5,0.5
M02-085-2,45518.413194444445,Total,2126,NA,Chlorpyrifos,ng/L,<,0.5,0.5
L05-503-1,45519.39166666667,Total,2350,NA,Chlorpyrifos,ng/L,<,0.5,1.24
L01-724-4 (L01P03),45519.430555555555,Total,1960,NA,Chlorpyrifos,ng/L,<,0.5,0.5
L01-724-1 (L01S01),45519.46597222222,Total,5505,NA,Chlorpyrifos,ng/L,<,0.5,0.5
K01-12126-1 (K01S01),45531.354166666664,Total,5380,NA,Chlorpyrifos,ng/L,<,0.5,0.5
L04-672-1,45427.383333333331,Total,3943,NA,Chromium,ug/L,NA,0.52,0.5
L04-266-5,45427.343055555553,Total,3408,NA,Chromium,ug/L,NA,0.31,0.375
L04-672-1,45427.383333333331,Dissolved,NA,NA,Chromium,ug/L,NA,0.42,0.405
L04-266-5,45427.343055555553,Dissolved,NA,NA,Chromium,ug/L,NA,0.21,0.155
J01-10004-1 (J01P01),45427.4,Total,2150,NA,Chromium,ug/L,NA,1.6,1.1400000000000001
J01-10004-1 (J01P01),45427.4,Dissolved,NA,NA,Chromium,ug/L,NA,0.48,0.39
L03-662-3 (L03P16),45428.369444444441,Total,2015,NA,Chromium,ug/L,NA,0.47,0.375
L03-214-2 (L03P18),45428.402083333334,Total,2443,NA,Chromium,ug/L,NA,0.73,0.7749999999999999
L03-316-3 (L03P12),45428.447222222225,Total,5117,NA,Chromium,ug/L,NA,0.43,0.395
L03-662-3 (L03P16),45428.369444444441,Dissolved,NA,NA,Chromium,ug/L,NA,0.37,0.305
L03-214-2 (L03P18),45428.402083333334,Dissolved,NA,NA,Chromium,ug/L,NA,0.6,0.49
L03-316-3 (L03P12),45428.447222222225,Dissolved,NA,NA,Chromium,ug/L,NA,0.31,0.305
L01-404-1,45433.34375,Total,1915,NA,Chromium,ug/L,NA,0.37,0.32999999999999996
L01-340-1,45433.381944444445,Total,1636,NA,Chromium,ug/L,NA,0.24,0.28500000000000003
L05-489-3,45433.376388888886,Total,3415,NA,Chromium,ug/L,NA,0.28,0.26
L05-049-1,45433.417361111111,Total,3825,NA,Chromium,ug/L,NA,0.55,0.525
L02-374-1 (L02P50),45433.424305555556,Total,2874,NA,Chromium,ug/L,NA,0.24,0.92
L01-404-1,45433.34375,Dissolved,NA,NA,Chromium,ug/L,<,0.1,0.15000000000000002
L01-340-1,45433.381944444445,Dissolved,NA,NA,Chromium,ug/L,NA,0.21,0.155
L05-489-3,45433.376388888886,Dissolved,NA,NA,Chromium,ug/L,<,0.1,0.1
L05-049-1,45433.417361111111,Dissolved,NA,NA,Chromium,ug/L,NA,0.33,0.30500000000000005
L02-374-1 (L02P50),45433.424305555556,Dissolved,NA,NA,Chromium,ug/L,NA,0.21,0.655
L03-418-8,45434.432638888888,Total,2875,NA,Chromium,ug/L,NA,0.36,0.29
K01-12177-1 (K01P07),45434.42083333333,Total,2719,NA,Chromium,ug/L,NA,0.33,0.30000000000000004
J03-9221-1 (J03P02),45434.455555555556,Total,5983,NA,Chromium,ug/L,NA,0.47,0.5449999999999999
J01-9224-1 (J01P24),45434.377083333333,Total,3753,NA,Chromium,ug/L,NA,0.41,1.055
J01-9224-2 (J01P25),45434.34375,Total,2683,NA,Chromium,ug/L,<,0.1,0.1
L03-418-8,45434.455555555556,Dissolved,NA,NA,Chromium,ug/L,NA,0.51,0.305
K01-12177-1 (K01P07),45434.42083333333,Dissolved,NA,NA,Chromium,ug/L,NA,0.21,0.22499999999999998
J03-9221-1 (J03P02),45434.455555555556,Dissolved,NA,NA,Chromium,ug/L,NA,0.44,0.495
J01-9224-1 (J01P24),45434.377083333333,Dissolved,NA,NA,Chromium,ug/L,NA,0.27,0.185
J01-9224-2 (J01P25),45434.34375,Dissolved,NA,NA,Chromium,ug/L,NA,0.41,0.255
J01-9992-1 (J01P27),45441.401388888888,Total,4415,NA,Chromium,ug/L,NA,2.3,4.8
J01-9131-1 (J01P28),45441.38958333333,Total,3079,NA,Chromium,ug/L,NA,0.89,1.095
J01-9007-1 (J02P05),45441.447222222225,Total,3350,NA,Chromium,ug/L,NA,0.96,2.78
J01-9992-1 (J01P27),45441.401388888888,Dissolved,NA,NA,Chromium,ug/L,NA,2.1,1.8
J01-9131-1 (J01P28),45441.5,Dissolved,NA,NA,Chromium,ug/L,NA,0.73,0.69
J01-9007-1 (J02P05),45441.447222222225,Dissolved,NA,NA,Chromium,ug/L,NA,0.71,1.655
J06-9079-1 (J06P03),45441.42083333333,Total,2776.69,NA,Chromium,ug/L,NA,0.84,0.825
J06-10011-1 (J06P01),45441.447222222225,Total,3448.62,NA,Chromium,ug/L,NA,0.57,0.52
J01-9082-2,45441.487500000003,Total,1287.87,NA,Chromium,ug/L,NA,1.6,1.1400000000000001
J06-9079-1 (J06P03),45441.42083333333,Dissolved,NA,NA,Chromium,ug/L,NA,0.7,0.7749999999999999
J06-10011-1 (J06P01),45441.447222222225,Dissolved,NA,NA,Chromium,ug/L,NA,0.56,0.51
J01-9082-2,45441.487500000003,Dissolved,NA,NA,Chromium,ug/L,NA,1.4,1.015
L01-726-5,45455.361111111109,Total,3953,NA,Chromium,ug/L,<,0.1,0.1
L01-728-5 (L01-DP),45455.4,Total,2015,NA,Chromium,ug/L,NA,0.47,0.44999999999999996
K01-12159-2,45455.37222222222,Total,5213,NA,Chromium,ug/L,NA,0.52,0.595
K01-12159-3,45455.365277777775,Total,4828,NA,Chromium,ug/L,NA,0.68,0.7250000000000001
L01-726-5,45455.361111111109,Dissolved,NA,NA,Chromium,ug/L,<,0.1,0.1
L01-728-5 (L01-DP),45455.4,Dissolved,NA,NA,Chromium,ug/L,NA,0.29,0.3
K01-12159-2,45455.37222222222,Dissolved,NA,NA,Chromium,ug/L,NA,0.26,0.32
K01-12159-3,45455.365277777775,Dissolved,NA,NA,Chromium,ug/L,NA,0.58,0.73
I01-11010-1,45461.415972222225,Total,7938,NA,Chromium,ug/L,<,0.1,0.1
I00-11437-1,45461.372916666667,Total,9394,NA,Chromium,ug/L,NA,0.42,0.365
I01-11010-1,45461.415972222225,Dissolved,NA,NA,Chromium,ug/L,<,0.1,0.20500000000000002
I00-11437-1,45461.372916666667,Dissolved,NA,NA,Chromium,ug/L,NA,0.35,0.3
L02-246-1 (L11P01),45462.494444444441,Total,1599,NA,Chromium,ug/L,NA,0.35,0.33999999999999997
L02-641-1,45462.348611111112,Total,1216,NA,Chromium,ug/L,NA,0.34,0.30000000000000004
L02-641-2,45462.361111111109,Total,1288,NA,Chromium,ug/L,NA,0.52,0.39
L01-731-1 (L08TBN2),45462.433333333334,Total,3226,NA,Chromium,ug/L,NA,0.41,0.35
L02-166-3 (L02P26),45462.390972222223,Total,1778,NA,Chromium,ug/L,NA,0.34,0.33
L02-246-1 (L11P01),45462.494444444441,Dissolved,NA,NA,Chromium,ug/L,NA,0.31,0.29500000000000004
L02-641-1,45462.348611111112,Dissolved,NA,NA,Chromium,ug/L,NA,0.29,0.25
L02-641-2,45462.361111111109,Dissolved,NA,NA,Chromium,ug/L,NA,0.28,0.245
L01-731-1 (L08TBN2),45462.433333333334,Dissolved,NA,NA,Chromium,ug/L,<,0.1,0.1
L02-166-3 (L02P26),45462.390972222223,Dissolved,NA,NA,Chromium,ug/L,NA,0.25,0.26
L05-503-1,45468.388888888891,Total,3088,NA,Chromium,ug/L,NA,0.72,0.53
L01-724-4 (L01P03),45468.438194444447,Total,3793,NA,Chromium,ug/L,NA,0.74,0.58
L01-724-1 (L01S01),45468.464583333334,Total,4689,NA,Chromium,ug/L,NA,0.21,0.22499999999999998
L05-503-1,45468.388888888891,Dissolved,NA,NA,Chromium,ug/L,<,0.1,0.1
L01-724-4 (L01P03),45468.438194444447,Dissolved,NA,NA,Chromium,ug/L,NA,0.67,0.48
L01-724-1 (L01S01),45468.464583333334,Dissolved,NA,NA,Chromium,ug/L,<,0.1,0.1
M01-042-1 (M01S01),45469.380555555559,Total,4667,NA,Chromium,ug/L,NA,5.4,3.35
M02-032-1,45469.44027777778,Total,3122,NA,Chromium,ug/L,NA,0.34,0.36
SC1-2,45469.40347222222,Total,9238,NA,Chromium,ug/L,NA,0.27,0.275
M02-085-1 (M02P06),45469.470833333333,Total,6689,NA,Chromium,ug/L,NA,0.59,0.58
M02-085-2,45469.445138888892,Total,2401,NA,Chromium,ug/L,NA,0.43,0.45999999999999996
M01-042-1 (M01S01),45469.380555555559,Dissolved,NA,NA,Chromium,ug/L,NA,1.5,0.96
M02-032-1,45469.44027777778,Dissolved,NA,NA,Chromium,ug/L,NA,0.25,0.255
SC1-2,45469.40347222222,Dissolved,NA,NA,Chromium,ug/L,NA,0.23,0.415
M02-085-1 (M02P06),45469.470833333333,Dissolved,NA,NA,Chromium,ug/L,NA,0.51,0.515
M02-085-2,45469.445138888892,Dissolved,NA,NA,Chromium,ug/L,NA,0.26,0.255
K01-12126-1 (K01S01),45510.38958333333,Total,-99,NA,Chromium,ug/L,NA,1.1,0.8250000000000001
K01-12126-1 (K01S01),45510.38958333333,Dissolved,NA,NA,Chromium,ug/L,NA,0.97,0.64
J01-10004-1 (J01P01),45496.430555555555,Total,2310,NA,Chromium,ug/L,NA,0.68,1.1400000000000001
J01-10004-1 (J01P01),45496.430555555555,Dissolved,NA,NA,Chromium,ug/L,NA,0.3,0.39
L04-672-1,45496.382638888892,Total,3334,NA,Chromium,ug/L,NA,0.48,0.5
L04-266-5,45496.334722222222,Total,2634,NA,Chromium,ug/L,NA,0.44,0.375
L04-672-1,45496.382638888892,Dissolved,NA,NA,Chromium,ug/L,NA,0.39,0.405
L04-266-5,45496.334722222222,Dissolved,NA,NA,Chromium,ug/L,<,0.1,0.155
L03-662-3 (L03P16),45498.354166666664,Total,1922,NA,Chromium,ug/L,NA,0.28,0.375
L03-214-2 (L03P18),45498.394444444442,Total,3250,NA,Chromium,ug/L,NA,0.82,0.7749999999999999
L03-316-3 (L03P12),45498.435416666667,Total,4332,NA,Chromium,ug/L,NA,0.36,0.395
L03-662-3 (L03P16),45498.354166666664,Dissolved,NA,NA,Chromium,ug/L,NA,0.24,0.305
L03-214-2 (L03P18),45498.394444444442,Dissolved,NA,NA,Chromium,ug/L,NA,0.38,0.49
L03-316-3 (L03P12),45498.435416666667,Dissolved,NA,NA,Chromium,ug/L,NA,0.3,0.305
L03-418-8,45503.387499999997,Total,2938.26,NA,Chromium,ug/L,NA,0.22,0.29
K01-12177-1 (K01P07),45503.42083333333,Total,4080,NA,Chromium,ug/L,NA,0.27,0.30000000000000004
J03-9221-1 (J03P02),45503.461111111108,Total,5269,NA,Chromium,ug/L,NA,0.62,0.5449999999999999
J01-9224-1 (J01P24),45503.459722222222,Total,3616,NA,Chromium,ug/L,NA,1.7,1.055
J01-9224-2 (J01P25),45503.488888888889,Total,2028,NA,Chromium,ug/L,<,0.1,0.1
L03-418-8,45503.387499999997,Dissolved,NA,NA,Chromium,ug/L,<,0.1,0.305
K01-12177-1 (K01P07),45503.42083333333,Dissolved,NA,NA,Chromium,ug/L,NA,0.24,0.22499999999999998
J03-9221-1 (J03P02),45503.461111111108,Dissolved,NA,NA,Chromium,ug/L,NA,0.55,0.495
J01-9224-1 (J01P24),45503.459722222222,Dissolved,NA,NA,Chromium,ug/L,<,0.1,0.185
J01-9224-2 (J01P25),45503.488888888889,Dissolved,NA,NA,Chromium,ug/L,<,0.1,0.255
