Jurisdiction,Inspected,ObsWeather,FacilityID,AvgDischarge,ObsRecordDate,FlowContribution,FlowCondition,PersistentFlow,FlowConnectivity,IDIC,Priority,PrioritizationScore2022,Conductivity,FloatDischargeCFS,VolumeDischargeCFS,LastDischargeTrend,ScourWaterCondition,DissWaterCondition,Comments,TrashCondition,TrashLocation,SampleDry,SampleWet,OCFSLocation,MaintenanceIssue,PointY,PointX
Mission Viejo,Verified,1,L04-136-1u (L04P07),0.360636,2024-07-23,Small Fraction (<10%),Flowing,Yes,Direct Connection,None,Not A Priority,NA,3350,1.3125,NA,20% Or More Above Average Discharge,Clear,Not present,NA,Not Present (0 Items),NA,NA,NA,NA,Graffiti,33.60845086,-117.67901094
Mission Viejo,Verified,1,L03-662-1,0.019535,2024-08-22,Small Fraction (<10%),Flowing,Yes,Direct Connection,None,Not A Priority,NA,2430,0.00414,0.004,Below Average Discharge,Not present,Not present,NA,Not Present (0 Items),NA,NA,NA,NA,None,33.61812287,-117.65018982
Mission Viejo,Verified,1,L03-662-1,0.019535,2024-07-10,Small Fraction (<10%),Flowing,Yes,Direct Connection,None,Not A Priority,NA,2510,NA,0.002,Below Average Discharge,Not present,Clear,Bubbles,Not Present (0 Items),NA,NA,NA,NA,NA,33.61812287,-117.65018982
San Clemente,Verified,1,M01-124-2,0.01691,2024-05-22,Small Fraction (<10%),Flowing,Yes,Direct Connection,None,Priority,48,1306,NA,NA,Below Average Discharge,Not present,Not present,Trickle flow. Not enough flow to calculate velocity.,Not Present (0 Items),NA,NA,NA,NA,None,33.45678925,-117.6421943
San Clemente,Verified,1,M01-124-2,0.01691,2024-09-05,Small Fraction (<10%),Flowing,Yes,Direct Connection,NA,Priority,48,14610,0.00972,0.004,Below Average Discharge,Not present,Not present,NA,Not Present (0 Items),NA,NA,NA,NA,NA,33.45678925,-117.6421943
San Clemente,Verified,1,M01-008-1,0,2024-08-19,NA,Dry,Unknown,NA,NA,NA,NA,NA,NA,NA,Equal,Not present,Not present,NA,Sparse (<10 Items),Within area surrounding outfall,NA,NA,NA,NA,33.47783017,-117.62771596
Laguna Hills,Verified,1,J05-9800-2,0,2024-09-04,NA,Pooled or Ponded,Yes,Partial - Significant Distance,NA,Not A Priority,NA,NA,NA,NA,Equal,Not present,Not present,NA,Moderate (11-50 Items),Within area surrounding outfall,NA,NA,NA,NA,33.58919053,-117.70158243
Laguna Hills,Verified,1,J05-9800-2,0,2024-03-05,Small Fraction (<10%),Pooled or Ponded,Yes,Direct Connection,NA,Not A Priority,NA,NA,NA,NA,Equal,Not present,Not present,NA,Not Present (0 Items),NA,NA,NA,NA,Overgrown,33.58919053,-117.70158243
Laguna Hills,Verified,1,J05-9800-2,0,2024-04-24,NA,Pooled or Ponded,Yes,Direct Connection,NA,Not A Priority,NA,NA,NA,NA,Equal,Not present,Not present,Vegetation blocking outfall causing ponding,Sparse (<10 Items),Within area surrounding outfall,NA,NA,NA,Overgrown,33.58919053,-117.70158243
Mission Viejo,Verified,1,L03-240-1 (L03P14),0.026244,2024-07-09,Major Fraction (>50%),Flowing,Yes,Direct Connection,NA,Priority,46,1922,0.037714,0.029,20% Or More Above Average Discharge,Yellow tint,Odor,Mud in dissipator has a white slime.  Dried leaves and trash prob from MS4z.,Moderate (11-50 Items),In flow path of outfall,NA,NA,NA,Graffiti,33.61518584,-117.63706498
Mission Viejo,Verified,1,L03-240-1 (L03P14),0.026244,2024-08-22,Small Fraction (<10%),Flowing,Yes,Partial - Significant Distance,None,Priority,46,1637,0.0336,0.013,20% Or More Above Average Discharge,Green tint,Odor,Lots of mud,Moderate (11-50 Items),In flow path of outfall,NA,NA,NA,Graffiti,33.61518584,-117.63706498
Laguna Niguel,Verified,1,J03-9221-1 (J03P02),0.239694,2024-03-08,Minor Fraction (10 - 50%),Flowing,Yes,Partial - Significant Distance,NA,Priority,47,NA,0.34,0.157,Below Average Discharge,Not present,Not present,NA,Sparse (<10 Items),Within area surrounding outfall,Yes,NA,1,None,33.54994245,-117.7171591
Laguna Niguel,Verified,1,J03-9221-1 (J03P02),0.239694,2024-05-22,NA,Flowing,Yes,Undetermined,NA,Priority,47,5984,0.1155,NA,Below Average Discharge,Not present,Not present,NA,Abundant (>50 Items),Within area surrounding outfall,Yes,NA,1,NA,33.54994245,-117.7171591
Laguna Niguel,Verified,1,J03-9221-1 (J03P02),0.239694,2024-07-30,NA,Flowing,Yes,Undetermined,NA,Priority,47,5269,0.2016,0.106,Below Average Discharge,Not present,"Brown ""tea"" tint",NA,Moderate (11-50 Items),Within area surrounding outfall,Yes,NA,1,NA,33.54994245,-117.7171591
Laguna Niguel,Verified,1,J03-9216-1 (J03P01),0.012897,2024-05-15,Small Fraction (<10%),Pooled or Ponded,Yes,Direct Connection,Trash,Priority,43,NA,NA,NA,Below Average Discharge,Not present,Not present,NA,Moderate (11-50 Items),In flow path of outfall,NA,NA,NA,None,33.53077057,-117.70823523
Laguna Niguel,Verified,1,J03-9216-1 (J03P01),0.012897,2024-03-08,Small Fraction (<10%),Pooled or Ponded,Yes,Direct Connection,None,Priority,43,NA,NA,NA,Below Average Discharge,Not present,Not present,Vegetation in flow path causing ponding at sensor. Measurements made under sensor. Flow downstream but likely from irrigation.,Sparse (<10 Items),In flow path of outfall,NA,NA,NA,None,33.53077057,-117.70823523
Laguna Niguel,Verified,1,J03-9216-1 (J03P01),0.012897,2024-07-15,NA,Pooled or Ponded,Yes,None - Flow Infiltrates or Outfall is Dry,None,Priority,43,NA,NA,NA,Below Average Discharge,Not present,Not present,NA,Not Present (0 Items),NA,NA,NA,NA,None,33.53077057,-117.70823523
Orange Co,Verified,1,L05-049-1,0.935829,2024-07-30,Minor Fraction (10 - 50%),Flowing,Yes,Direct Connection,None,Priority,65,3847,0.287452,0.041,Below Average Discharge,Not present,Not present,NA,Sparse (<10 Items),In flow path of outfall,Yes,Yes,NA,None,33.53474488,-117.64617707
Orange Co,Verified,1,L05-049-1,0.935829,2024-05-21,Minor Fraction (10 - 50%),Flowing,Yes,Direct Connection,NA,Priority,65,3825,0.2418,0.09,Below Average Discharge,Not present,Not present,Lotsa roly-polices,Moderate (11-50 Items),Within area surrounding outfall,Yes,Yes,NA,NA,33.53474488,-117.64617707
Orange Co,Verified,1,L05-049-1,0.935829,2024-05-21,Minor Fraction (10 - 50%),Flowing,Yes,Direct Connection,NA,Priority,65,3825,0.2418,0.09,Below Average Discharge,Not present,Not present,Lotsa roly-polices,Moderate (11-50 Items),Within area surrounding outfall,Yes,Yes,NA,NA,33.53474488,-117.64617707
Dana Point,Verified,1,L01-726-3,0,2024-06-10,Small Fraction (<10%),Dry,Unknown,Direct Connection,NA,Not A Priority,NA,NA,NA,NA,Equal,Not present,Not present,NA,NA,NA,NA,NA,NA,NA,33.47522473,-117.67880664
Dana Point,Verified,1,L01-726-3,0,2024-08-27,NA,Dry,Unknown,None - Flow Infiltrates or Outfall is Dry,None,Not A Priority,NA,NA,NA,NA,Equal,Not present,Not present,NA,Sparse (<10 Items),In flow path of outfall,NA,NA,NA,None,33.47522473,-117.67880664
Mission Viejo,Verified,1,L03-172-3,NA,2024-08-20,NA,Pooled or Ponded,Yes,Undetermined,None,NA,NA,NA,NA,NA,NA,Not present,Not present,"Very overgrown, inaccessible",Not Present (0 Items),NA,NA,NA,NA,Overgrown,33.65148883,-117.63749476
Mission Viejo,Verified,1,L03-172-3,NA,2024-07-09,Small Fraction (<10%),Pooled or Ponded,Yes,Direct Connection,None,NA,NA,NA,NA,NA,NA,Not present,Not present,NA,Sparse (<10 Items),Within area surrounding outfall,NA,NA,NA,NA,33.65148883,-117.63749476
Laguna Beach,Verified,1,I01-11023-3,0,2024-05-07,NA,Dry,Unknown,None - Flow Infiltrates or Outfall is Dry,NA,Not A Priority,NA,NA,NA,NA,Equal,Not present,Not present,NA,Not Present (0 Items),NA,NA,NA,NA,NA,33.55072696,-117.77890426
Laguna Beach,Verified,1,I01-11023-3,0,2024-08-01,NA,Dry,Unknown,None - Flow Infiltrates or Outfall is Dry,None,Not A Priority,NA,NA,NA,NA,Equal,Not present,Not present,Rubble build up inside,Sparse (<10 Items),In flow path of outfall,NA,NA,NA,None,33.55072696,-117.77890426
Orange Co,Verified,1,L02-374-2 (MVL02P20),0.007546,2024-07-08,Small Fraction (<10%),Dry,Unknown,Undetermined,None,Not A Priority,NA,NA,NA,NA,Below Average Discharge,NA,Yellow tint,NA,Not Present (0 Items),NA,NA,NA,NA,Graffiti,33.57276201,-117.64557706
Orange Co,Verified,1,L02-374-2 (MVL02P20),0.007546,2024-09-12,NA,Dry,Unknown,Undetermined,NA,Not A Priority,NA,NA,NA,NA,Below Average Discharge,"Brown ""tea"" tint","Brown ""tea"" tint",Ponded in dissipator and scour pond.  Outfall flow conditions observed from above,Not Present (0 Items),NA,NA,NA,NA,Overgrown,33.57276201,-117.64557706
Laguna Niguel,Verified,1,L03-455-5,0.006883,2024-06-11,Small Fraction (<10%),Flowing,Unknown,Direct Connection,None,Priority,41,4734,NA,0.002,Above Average Discharge,Not present,Not present,"Outfall discharge was measured volumetrically, filling 1L in 18 seconds. Leaf float could not be conducted due to outfall’s height.",Sparse (<10 Items),In flow path of outfall,NA,NA,NA,None,33.54240381,-117.67504142
Laguna Niguel,Verified,1,L03-455-5,0.006883,2024-07-22,Minor Fraction (10 - 50%),Flowing,Unknown,Direct Connection,None,Priority,41,6870,0.007767,0.002,Above Average Discharge,Not present,Not present,NA,Sparse (<10 Items),Within area surrounding outfall,NA,NA,NA,None,33.54240381,-117.67504142
San Clemente,Verified,1,SC02-072-4,NA,2024-05-23,NA,Other - See Comments,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,Not present,Not present,Could not access due to overgrown vegetation. Tried accessing from railroad tracks.,NA,NA,NA,NA,NA,NA,33.39993318,-117.60112797
San Clemente,Verified,1,SC02-072-4,NA,2024-08-19,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,Not present,Not present,Inaccessible from neighborhood,NA,NA,NA,NA,NA,NA,33.39993318,-117.60112797
Aliso Viejo,Verified,1,J01-9082-4,0.02202,2024-05-29,NA,Flowing,Yes,Direct Connection,NA,Priority,35,2928,0.018,0.008,Below Average Discharge,Not present,Not present,NA,Sparse (<10 Items),Within area surrounding outfall,NA,NA,NA,NA,33.58156591,-117.74571458
Aliso Viejo,Verified,1,J01-9082-4,0.02202,2024-03-05,Small Fraction (<10%),NA,Yes,Direct Connection,NA,Priority,35,NA,0.026381,0.011,Below Average Discharge,Not present,Not present,NA,Not Present (0 Items),NA,NA,NA,NA,NA,33.58156591,-117.74571458
Aliso Viejo,Verified,1,J01-9082-4,0.02202,2024-07-31,Minor Fraction (10 - 50%),Flowing,Yes,Direct Connection,None,Priority,35,2643,0.003,0.004,Below Average Discharge,Not present,Not present,NA,Sparse (<10 Items),In flow path of outfall,NA,NA,NA,None,33.58156591,-117.74571458
Rancho Santa Margarita,Verified,1,L02-166-3 (L02P26),0.16714,2024-06-19,NA,Flowing,Yes,Undetermined,None,Priority,83,1778,0.259259,0.035,Below Average Discharge,Not present,Not present,Yellow tinted water,Moderate (11-50 Items),In flow path of outfall,Yes,NA,1,Graffiti,33.64460825,-117.61378331
Rancho Santa Margarita,Verified,1,L02-166-3 (L02P26),0.16714,2024-08-13,NA,Flowing,Yes,Undetermined,NA,Priority,83,2011,0.083077,0.032,Below Average Discharge,"Brown ""tea"" tint",Odor,Mud dried leaves; wet water mark,Moderate (11-50 Items),In flow path of outfall,Yes,NA,1,Graffiti,33.64460825,-117.61378331
Orange Co,Verified,1,L02-344-1,0,2024-07-31,Small Fraction (<10%),Dry,Unknown,None - Flow Infiltrates or Outfall is Dry,None,Not A Priority,NA,NA,NA,NA,Equal,Not present,Not present,NA,Not Present (0 Items),NA,NA,NA,NA,None,33.59197147,-117.62867782
Orange Co,Verified,1,L02-344-1,0,2024-06-07,NA,Dry,Unknown,Undetermined,NA,Not A Priority,NA,NA,NA,NA,Equal,Not present,Not present,Area surrounding outfall heavily overgrown. Downstream of outfall heavily overgrown. Hard to get to due to vegetation and unstable footing. Use DA1 key at gate to get down road.,Sparse (<10 Items),In flow path of outfall,NA,NA,NA,Overgrown,33.59197147,-117.62867782
Mission Viejo,Verified,1,L03-316-3 (L03P12),0.27494,2024-05-16,Small Fraction (<10%),Flowing,Yes,Direct Connection,NA,Priority,77,5117,0.234194,0.068,20% Or More Above Average Discharge,Not present,Not present,NA,Abundant (>50 Items),In flow path of outfall,Yes,NA,1,Graffiti,33.59601712,-117.6558902
Mission Viejo,Verified,1,L03-316-3 (L03P12),0.27494,2024-07-25,Small Fraction (<10%),Flowing,Yes,Direct Connection,None,Priority,77,4882,0.45,0.098,20% Or More Above Average Discharge,Not present,Not present,NA,Not Present (0 Items),NA,Yes,NA,1,Graffiti,33.59601712,-117.6558902
Orange Co,Verified,1,L05-489-3d,1.798552,2024-07-30,Major Fraction (>50%),Flowing,Yes,Direct Connection,None,NA,NA,3334,1.672566,NA,Below Average Discharge,Not present,Not present,Mud snails present. Yellow tinted water.,Not Present (0 Items),NA,NA,NA,NA,None,33.52889298,-117.64661272
Orange Co,Verified,1,L05-489-3d,1.798552,2024-05-21,Major Fraction (>50%),Flowing,Yes,Direct Connection,NA,NA,NA,5869,1.1088,NA,Below Average Discharge,"Brown ""tea"" tint",Pea soup,NA,Moderate (11-50 Items),In flow path of outfall,NA,NA,NA,NA,33.52889298,-117.64661272
San Clemente,Verified,1,M01-038-6,0.013791,2024-05-22,NA,Other - See Comments,Unknown,NA,NA,Priority,48,NA,NA,NA,Below Average Discharge,Not present,Not present,Inaccessible due to 2 chain link fences. Gate locked. Access through outfall pipe also blocked off by fence.,NA,NA,NA,NA,NA,NA,33.46494371,-117.63928685
Laguna Niguel,Verified,1,J03-9368-1 (J03TBN1),0.006481,2024-03-08,Small Fraction (<10%),Flowing,Yes,Direct Connection,NA,Priority,45,NA,0.027285,0.011,20% Or More Above Average Discharge,Not present,Not present,NA,Not Present (0 Items),NA,NA,NA,NA,None,33.53781578,-117.69748708
Laguna Niguel,Verified,1,J03-9368-1 (J03TBN1),0.006481,2024-07-17,NA,NA,Yes,NA,NA,Priority,45,NA,NA,NA,20% Or More Above Average Discharge,Not present,Not present,too overgrown to access from both service road and main road,NA,NA,NA,NA,NA,Overgrown,33.53781578,-117.69748708
Laguna Niguel,Verified,1,J03-9368-1 (J03TBN1),0.006481,2024-05-15,Small Fraction (<10%),NA,Yes,Direct Connection,None,Priority,45,4738,0.010272,0.002,20% Or More Above Average Discharge,Not present,Not present,NA,Not Present (0 Items),NA,NA,NA,NA,None,33.53781578,-117.69748708
San Juan Capistrano,Verified,1,L01-749-5,0.008383,2024-06-10,NA,Pooled or Ponded,Yes,NA,NA,NA,NA,NA,NA,NA,Below Average Discharge,Not present,Not present,Large dead tree is in outfall flow path making it difficult to access.,Not Present (0 Items),NA,NA,NA,NA,Other - See Comments,33.50917817,-117.63640896
San Juan Capistrano,Verified,1,L01-749-5,0.008383,2024-07-22,Major Fraction (>50%),Pooled or Ponded,Yes,Direct Connection,None,NA,NA,NA,NA,NA,Below Average Discharge,Not present,Not present,part of the tunnel was fairly clogged with sediment,Sparse (<10 Items),Within area surrounding outfall,NA,NA,NA,Sediment,33.50917817,-117.63640896
San Juan Capistrano,Verified,1,L01-618-3,0,2024-06-03,NA,NA,Unknown,NA,NA,Not A Priority,NA,NA,NA,NA,Equal,Not present,Not present,Unable to access outfall due to overgrown brush and vegetation.,NA,NA,NA,NA,NA,Overgrown,33.50155042,-117.65000911
San Juan Capistrano,Verified,1,L01-618-3,0,2024-08-28,NA,Other - See Comments,Unknown,Undetermined,NA,Not A Priority,NA,NA,NA,NA,Equal,Not present,Not present,Dry at standpipe ; cannot access outfall due to overgrown vegetation,Moderate (11-50 Items),In flow path of outfall,NA,NA,NA,NA,33.50155042,-117.65000911
San Juan Capistrano,Verified,1,L01-748-1,0,2024-07-22,Major Fraction (>50%),Pooled or Ponded,Unknown,Direct Connection,None,Not A Priority,NA,NA,NA,NA,Equal,Not present,Not present,NA,Sparse (<10 Items),In flow path of outfall,NA,NA,NA,None,33.50404364,-117.64282008
San Juan Capistrano,Verified,1,L01-748-1,0,2024-06-10,NA,Dry,Unknown,None - Flow Infiltrates or Outfall is Dry,NA,Not A Priority,NA,NA,NA,NA,Equal,Not present,Not present,NA,Sparse (<10 Items),In flow path of outfall,NA,NA,NA,Sediment,33.50404364,-117.64282008
Rancho Santa Margarita,Verified,1,L02-622-1 (L02P28),0.01247,2024-08-22,NA,Dry,Unknown,Undetermined,NA,Not A Priority,NA,NA,NA,NA,Below Average Discharge,Not present,Not present,NA,Sparse (<10 Items),Within area surrounding outfall,NA,NA,NA,NA,33.63591231,-117.6157628
Rancho Santa Margarita,Verified,1,L02-622-1 (L02P28),0.01247,2024-06-20,NA,Dry,Unknown,NA,NA,Not A Priority,NA,NA,NA,NA,Below Average Discharge,Not present,Not present,Outfall was down steep slope and unsafe to access. Manhole on slope was evaluated instead. There were signs of recent flow.,Not Present (0 Items),NA,NA,NA,NA,NA,33.63591231,-117.6157628
Orange Co,Verified,1,L01-733-7,0.05989,2024-06-12,Small Fraction (<10%),Flowing,Yes,Direct Connection,None,NA,NA,1717,0.061395,NA,Below Average Discharge,Not present,Not present,Grafitti observed in outfall,Not Present (0 Items),NA,NA,NA,NA,Graffiti,33.61547579,-117.58242695
Orange Co,Verified,1,L01-733-7,0.05989,2024-08-05,Minor Fraction (10 - 50%),Flowing,Yes,Direct Connection,None,NA,NA,1326,0.018,NA,Below Average Discharge,Not present,Not present,NA,Sparse (<10 Items),Within area surrounding outfall,NA,NA,NA,None,33.61547579,-117.58242695
Laguna Beach,Verified,1,I01-11093-1,0,2024-08-01,NA,Dry,Unknown,None - Flow Infiltrates or Outfall is Dry,None,Not A Priority,NA,NA,NA,NA,Equal,Not present,Not present,NA,Not Present (0 Items),NA,NA,NA,NA,None,33.55866927,-117.77256922
Dana Point,Verified,1,L01-728-2,0.001976,2024-09-03,Small Fraction (<10%),Pooled or Ponded,Yes,Direct Connection,None,Not A Priority,NA,NA,NA,NA,Below Average Discharge,Not present,Not present,NA,Sparse (<10 Items),In flow path of outfall,NA,NA,NA,None,33.46469129,-117.68219306
Dana Point,Verified,1,L01-728-2,0.001976,2024-06-27,Small Fraction (<10%),Flowing,Yes,None - Flow Infiltrates or Outfall is Dry,None,Not A Priority,NA,4160,4.57e-4,NA,Below Average Discharge,Not present,Not present,NA,Sparse (<10 Items),In flow path of outfall,NA,NA,NA,None,33.46469129,-117.68219306
Mission Viejo,Verified,1,L03-662-3 (L03P16),0.164525,2024-07-25,Minor Fraction (10 - 50%),Flowing,Yes,Direct Connection,None,Priority,82,1922,0.2,0.04,20% Or More Above Average Discharge,Clear,Not present,Dry leaves/grass in runoff,Not Present (0 Items),NA,Yes,NA,NA,None,33.6246438,-117.64823874
Mission Viejo,Verified,1,L03-662-3 (L03P16),0.164525,2024-05-16,Minor Fraction (10 - 50%),Flowing,Yes,Partial - Significant Distance,NA,Priority,82,2014,0.192,0.112,20% Or More Above Average Discharge,Not present,Clear,NA,Not Present (0 Items),NA,Yes,NA,NA,NA,33.6246438,-117.64823874
Laguna Hills,Verified,1,J05-9271-6,0,2024-09-25,NA,Dry,Unknown,NA,NA,Not A Priority,NA,NA,NA,NA,Equal,Not present,Not present,NA,Sparse (<10 Items),In flow path of outfall,NA,NA,NA,NA,33.58730921,-117.70447926
Laguna Hills,Verified,1,J05-9271-6,0,2024-09-04,NA,Pooled or Ponded,Unknown,None - Flow Infiltrates or Outfall is Dry,NA,Not A Priority,NA,NA,NA,NA,Equal,Not present,Not present,NA,Sparse (<10 Items),Within area surrounding outfall,NA,NA,NA,NA,33.58730921,-117.70447926
San Clemente,Verified,1,SC03-067-1,0,2024-05-22,NA,Dry,Unknown,None - Flow Infiltrates or Outfall is Dry,None,Not A Priority,NA,NA,NA,NA,Equal,Not present,Not present,Dry. Access from beach.,Sparse (<10 Items),In flow path of outfall,NA,NA,NA,None,33.40518596,-117.60660011
Mission Viejo,Verified,1,L04-266-5,0.496118,2024-07-22,Major Fraction (>50%),Flowing,Yes,Direct Connection,NA,Priority,96,3280,0.512424,NA,Above Average Discharge,Not present,Not present,NA,NA,NA,Yes,NA,1,NA,33.60731231,-117.66886821
Mission Viejo,Verified,1,L04-266-5,0.496118,2024-05-15,Major Fraction (>50%),Flowing,Yes,Direct Connection,None,Priority,96,3408,1.187009,NA,Above Average Discharge,Not present,Not present,NA,Sparse (<10 Items),In flow path of outfall,Yes,NA,1,None,33.60731231,-117.66886821
Orange Co,Verified,1,L01-733-5,0,2024-06-12,Small Fraction (<10%),Dry,Unknown,Direct Connection,None,Not A Priority,NA,NA,NA,NA,Equal,Not present,Not present,NA,Not Present (0 Items),NA,NA,NA,NA,Overgrown,33.62233779,-117.57672941
Orange Co,Verified,1,L01-733-5,0,2024-08-05,NA,Dry,Unknown,NA,None,Not A Priority,NA,NA,NA,NA,Equal,Not present,Not present,NA,Not Present (0 Items),NA,NA,NA,NA,NA,33.62233779,-117.57672941
Orange Co,Verified,1,L05-489-7,0.087582,2024-05-21,NA,Flowing,Yes,Direct Connection,NA,Priority,51,3465,0.048,0.024,Below Average Discharge,Not present,Not present,NA,Sparse (<10 Items),In flow path of outfall,NA,NA,NA,NA,33.53268101,-117.64671193
Orange Co,Verified,1,L05-489-7,0.087582,2024-07-30,Small Fraction (<10%),Flowing,Yes,Direct Connection,None,Priority,51,3605,0.044776,0.022,Below Average Discharge,Not present,Not present,Lots of leaf litter.,Sparse (<10 Items),In flow path of outfall,NA,NA,NA,Graffiti,33.53268101,-117.64671193
Laguna Woods,Verified,1,I01-11343-2 (I02P18),0.007131,2024-05-15,Small Fraction (<10%),Flowing,Unknown,Direct Connection,NA,Not A Priority,NA,NA,NA,NA,Below Average Discharge,Not present,Not present,Vegetation overgrown. High slope. Unsafe to access.,Not Present (0 Items),NA,Yes,NA,NA,None,33.6121053,-117.75396004
Laguna Woods,Verified,1,I01-11343-2 (I02P18),0.007131,2024-07-23,NA,Other - See Comments,Unknown,None - Flow Infiltrates or Outfall is Dry,None,Not A Priority,NA,NA,NA,NA,Below Average Discharge,Green tint,Not present,Steep slope and overgrown,Not Present (0 Items),NA,Yes,NA,NA,None,33.6121053,-117.75396004
San Juan Capistrano,Verified,1,L01-602-2,NA,2024-06-03,Small Fraction (<10%),NA,Yes,Partial - Significant Distance,None,Not A Priority,NA,NA,NA,NA,NA,Not present,Not present,Sediment accumulation observed at the outfall,Not Present (0 Items),NA,NA,NA,NA,Sediment,33.49828191,-117.65366477
Dana Point,Verified,1,L01-728-6,0,2024-09-03,NA,Dry,Unknown,None - Flow Infiltrates or Outfall is Dry,None,Not A Priority,NA,NA,NA,NA,Equal,Not present,Not present,Drainage gate blocking.,Sparse (<10 Items),Within area surrounding outfall,NA,NA,NA,None,33.46971004,-117.68088825
Dana Point,Verified,1,L01-728-6,0,2024-07-11,NA,Dry,Unknown,None - Flow Infiltrates or Outfall is Dry,None,Not A Priority,NA,NA,NA,NA,Equal,Not present,Not present,NA,Sparse (<10 Items),In flow path of outfall,NA,NA,NA,None,33.46971004,-117.68088825
San Clemente,Verified,1,SC12-068-2,0.009971,2024-05-29,NA,Flowing,Yes,None - Flow Infiltrates or Outfall is Dry,None,Not A Priority,NA,5285,NA,NA,20% Or More Above Average Discharge,Not present,Not present,Flow was too a typical to get a reading. Outfall is partially clogged by sediment. Flow is infiltrating into the sand about 30ft before the RW.,Not Present (0 Items),NA,NA,NA,NA,Sediment,33.42060549,-117.62100437
San Clemente,Verified,1,SC12-068-2,0.009971,2024-08-07,NA,Flowing,Yes,None - Flow Infiltrates or Outfall is Dry,NA,Not A Priority,NA,7230,0.030375,NA,20% Or More Above Average Discharge,Not present,Not present,NA,Not Present (0 Items),NA,NA,NA,NA,None,33.42060549,-117.62100437
San Clemente,Verified,1,M01-047-1,0.392052,2024-06-26,Minor Fraction (10 - 50%),Flowing,Yes,Direct Connection,None,Priority,65,9238,0.987597,NA,20% Or More Above Average Discharge,Not present,Not present,NA,Sparse (<10 Items),In flow path of outfall,Yes,NA,NA,None,33.44251659,-117.64193805
San Clemente,Verified,1,M01-047-1,0.392052,2024-08-14,Small Fraction (<10%),Flowing,Yes,Direct Connection,NA,Priority,65,6254,NA,NA,20% Or More Above Average Discharge,Not present,Not present,NA,Sparse (<10 Items),In flow path of outfall,Yes,NA,NA,None,33.44251659,-117.64193805
Mission Viejo,Verified,1,L04-672-1,0.220338,2024-07-23,Major Fraction (>50%),Flowing,Yes,Direct Connection,None,Priority,64,3334,0.126,NA,Below Average Discharge,Not present,Not present,NA,Sparse (<10 Items),In flow path of outfall,Yes,NA,NA,None,33.61223316,-117.68064994
Mission Viejo,Verified,1,L04-672-1,0.220338,2024-05-15,NA,Flowing,Yes,NA,None,Priority,64,3943,0.384407,0.024,Below Average Discharge,Not present,Yellow tint,Bird’s nest at entrance of outfall,Sparse (<10 Items),Within area surrounding outfall,Yes,NA,NA,None,33.61223316,-117.68064994
Mission Viejo,Verified,1,L04-702-4,0,2024-07-09,NA,Dry,Unknown,None - Flow Infiltrates or Outfall is Dry,NA,Not A Priority,NA,NA,NA,NA,Equal,Not present,Not present,NA,Sparse (<10 Items),Within area surrounding outfall,NA,NA,NA,NA,33.58274208,-117.6733815
Rancho Santa Margarita,Verified,1,L02-641-2,0.331514,2024-08-13,NA,Flowing,Yes,NA,Surfactants,Priority,71,1569,0.283636,0.057,Below Average Discharge,Not present,Not present,Yellow tint,Moderate (11-50 Items),In flow path of outfall,Yes,NA,NA,Graffiti,33.63110985,-117.59484088
Rancho Santa Margarita,Verified,1,L02-641-2,0.331514,2024-06-19,Major Fraction (>50%),Flowing,Yes,Direct Connection,None,Priority,71,1288,0.228902,0.077,Below Average Discharge,Not present,Not present,Shopping cart in outfall,Moderate (11-50 Items),In flow path of outfall,Yes,NA,NA,Graffiti,33.63110985,-117.59484088
Rancho Santa Margarita,Verified,1,L01-223-1 (L08TBN1),0.056556,2024-06-19,NA,Flowing,Yes,Undetermined,None,Priority,52,3157,0.154054,0.036,Below Average Discharge,Not present,"Brown ""tea"" tint",NA,Not Present (0 Items),NA,NA,NA,NA,None,33.62071083,-117.56461348
Rancho Santa Margarita,Verified,1,L01-223-1 (L08TBN1),0.056556,2024-08-13,NA,Flowing,Yes,Undetermined,None,Priority,52,3591,0.003896,0,Below Average Discharge,Not present,"Brown ""tea"" tint",NA,Moderate (11-50 Items),Within area surrounding outfall,NA,NA,NA,Sediment,33.62071083,-117.56461348
Orange Co,Verified,1,L01-517-7,0.001777,2024-06-06,NA,Dry,Unknown,NA,NA,NA,NA,NA,NA,NA,Below Average Discharge,Not present,Not present,Evidence of somewhat recent flows due to dampness in pipe and damp sediments in the flow path.,Sparse (<10 Items),In flow path of outfall,NA,NA,NA,None,33.5242491,-117.61953162
Mission Viejo,Verified,1,L04-266-1,0.00225,2024-07-09,Small Fraction (<10%),Pooled or Ponded,Yes,Direct Connection,None,Not A Priority,NA,NA,NA,NA,Equal,Not present,Not present,NA,Sparse (<10 Items),In flow path of outfall,NA,NA,NA,None,33.60525229,-117.67238424
Mission Viejo,Verified,1,L04-266-1,0.00225,2024-08-22,Small Fraction (<10%),Pooled or Ponded,Yes,Direct Connection,None,Not A Priority,NA,NA,NA,NA,Equal,Not present,Not present,NA,Sparse (<10 Items),Within area surrounding outfall,NA,NA,NA,None,33.60525229,-117.67238424
